source_article_identity,source_locale,source_canonical,relation_type,target_surface,target_identity,target_locale,target_canonical,visible_anchor_intent,display_position,authority_source,query_relationship,publication_eligibility,target_eligibility,analytics_dependency,review_state,evidence,blocker
154,zh,https://fermatmind.com/zh/articles/big-five-planning-system-run-a-two-week-experiment,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
155,zh,https://fermatmind.com/zh/articles/big-five-retest-differences-measurement-and-context,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
155,zh,https://fermatmind.com/zh/articles/big-five-retest-differences-measurement-and-context,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
155,zh,https://fermatmind.com/zh/articles/big-five-retest-differences-measurement-and-context,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
156,zh,https://fermatmind.com/zh/articles/big-five-score-ranges-what-high-middle-low-can-mean,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
156,zh,https://fermatmind.com/zh/articles/big-five-score-ranges-what-high-middle-low-can-mean,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
156,zh,https://fermatmind.com/zh/articles/big-five-score-ranges-what-high-middle-low-can-mean,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
157,zh,https://fermatmind.com/zh/articles/big-five-self-regulation-build-a-context-plan,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
157,zh,https://fermatmind.com/zh/articles/big-five-self-regulation-build-a-context-plan,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
157,zh,https://fermatmind.com/zh/articles/big-five-self-regulation-build-a-context-plan,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
158,zh,https://fermatmind.com/zh/articles/big-five-self-report-bias-and-response-context,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
158,zh,https://fermatmind.com/zh/articles/big-five-self-report-bias-and-response-context,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
158,zh,https://fermatmind.com/zh/articles/big-five-self-report-bias-and-response-context,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
159,zh,https://fermatmind.com/zh/articles/big-five-stress-response-patterns-without-diagnosis,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
159,zh,https://fermatmind.com/zh/articles/big-five-stress-response-patterns-without-diagnosis,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
159,zh,https://fermatmind.com/zh/articles/big-five-stress-response-patterns-without-diagnosis,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
160,zh,https://fermatmind.com/zh/articles/big-five-study-limitations-sample-measures-and-causality,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
160,zh,https://fermatmind.com/zh/articles/big-five-study-limitations-sample-measures-and-causality,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
160,zh,https://fermatmind.com/zh/articles/big-five-study-limitations-sample-measures-and-causality,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
161,zh,https://fermatmind.com/zh/articles/big-five-teamwork-conversation-guide-not-fit-score,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
161,zh,https://fermatmind.com/zh/articles/big-five-teamwork-conversation-guide-not-fit-score,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
161,zh,https://fermatmind.com/zh/articles/big-five-teamwork-conversation-guide-not-fit-score,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
3,zh,https://fermatmind.com/zh/articles/big-five-tool-guide,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
3,zh,https://fermatmind.com/zh/articles/big-five-tool-guide,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
3,zh,https://fermatmind.com/zh/articles/big-five-tool-guide,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
162,zh,https://fermatmind.com/zh/articles/big-five-traits-are-continuums-not-boxes,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
162,zh,https://fermatmind.com/zh/articles/big-five-traits-are-continuums-not-boxes,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
162,zh,https://fermatmind.com/zh/articles/big-five-traits-are-continuums-not-boxes,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
163,zh,https://fermatmind.com/zh/articles/big-five-vs-disc-measurement-and-workplace-language,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
163,zh,https://fermatmind.com/zh/articles/big-five-vs-disc-measurement-and-workplace-language,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
163,zh,https://fermatmind.com/zh/articles/big-five-vs-disc-measurement-and-workplace-language,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
164,zh,https://fermatmind.com/zh/articles/big-five-vs-enneagram-traits-and-motivation-stories,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
164,zh,https://fermatmind.com/zh/articles/big-five-vs-enneagram-traits-and-motivation-stories,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
164,zh,https://fermatmind.com/zh/articles/big-five-vs-enneagram-traits-and-motivation-stories,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
165,zh,https://fermatmind.com/zh/articles/big-five-vs-riasec-personality-traits-and-career-interests,related_article,article,166,zh,https://fermatmind.com/zh/articles/big-five-work-environment-preferences-as-experiments,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
165,zh,https://fermatmind.com/zh/articles/big-five-vs-riasec-personality-traits-and-career-interests,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
165,zh,https://fermatmind.com/zh/articles/big-five-vs-riasec-personality-traits-and-career-interests,related_career,career_hub,career,zh,https://fermatmind.com/zh/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
166,zh,https://fermatmind.com/zh/articles/big-five-work-environment-preferences-as-experiments,related_article,article,165,zh,https://fermatmind.com/zh/articles/big-five-vs-riasec-personality-traits-and-career-interests,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
166,zh,https://fermatmind.com/zh/articles/big-five-work-environment-preferences-as-experiments,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
166,zh,https://fermatmind.com/zh/articles/big-five-work-environment-preferences-as-experiments,related_career,career_hub,career,zh,https://fermatmind.com/zh/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
167,zh,https://fermatmind.com/zh/articles/can-big-five-personality-traits-change-over-time,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
167,zh,https://fermatmind.com/zh/articles/can-big-five-personality-traits-change-over-time,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
167,zh,https://fermatmind.com/zh/articles/can-big-five-personality-traits-change-over-time,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
48,zh,https://fermatmind.com/zh/articles/career-confusion-test-map,related_article,article,165,zh,https://fermatmind.com/zh/articles/big-five-vs-riasec-personality-traits-and-career-interests,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
48,zh,https://fermatmind.com/zh/articles/career-confusion-test-map,take_assessment,assessment_landing,holland-career-interest-test-riasec,zh,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
48,zh,https://fermatmind.com/zh/articles/career-confusion-test-map,related_career,career_hub,career,zh,https://fermatmind.com/zh/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
46,zh,https://fermatmind.com/zh/articles/career-interest-vs-personality-test-differences,related_article,article,165,zh,https://fermatmind.com/zh/articles/big-five-vs-riasec-personality-traits-and-career-interests,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
46,zh,https://fermatmind.com/zh/articles/career-interest-vs-personality-test-differences,take_assessment,assessment_landing,holland-career-interest-test-riasec,zh,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
46,zh,https://fermatmind.com/zh/articles/career-interest-vs-personality-test-differences,related_career,career_hub,career,zh,https://fermatmind.com/zh/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
13,zh,https://fermatmind.com/zh/articles/childhood-dream-job-still-shapes-career-choice,related_article,article,165,zh,https://fermatmind.com/zh/articles/big-five-vs-riasec-personality-traits-and-career-interests,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
13,zh,https://fermatmind.com/zh/articles/childhood-dream-job-still-shapes-career-choice,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
13,zh,https://fermatmind.com/zh/articles/childhood-dream-job-still-shapes-career-choice,related_career,career_hub,career,zh,https://fermatmind.com/zh/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
52,zh,https://fermatmind.com/zh/articles/college-major-choice-holland-mbti-career-test,related_article,article,165,zh,https://fermatmind.com/zh/articles/big-five-vs-riasec-personality-traits-and-career-interests,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
52,zh,https://fermatmind.com/zh/articles/college-major-choice-holland-mbti-career-test,take_assessment,assessment_landing,holland-career-interest-test-riasec,zh,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,先做霍兰德职业兴趣测试，把兴趣结果转成专业验证清单,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
52,zh,https://fermatmind.com/zh/articles/college-major-choice-holland-mbti-career-test,related_career,career_hub,career,zh,https://fermatmind.com/zh/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
168,zh,https://fermatmind.com/zh/articles/daily-wellbeing-support-personality-is-one-context,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
168,zh,https://fermatmind.com/zh/articles/daily-wellbeing-support-personality-is-one-context,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
168,zh,https://fermatmind.com/zh/articles/daily-wellbeing-support-personality-is-one-context,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
51,zh,https://fermatmind.com/zh/articles/enneagram-personality-test-explained,related_article,article,68,zh,https://fermatmind.com/zh/articles/enneagram-workplace-friction-core-motivations,继续了解Enneagram,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
51,zh,https://fermatmind.com/zh/articles/enneagram-personality-test-explained,take_assessment,assessment_landing,enneagram-personality-test-nine-types,zh,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,开始九型人格测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
51,zh,https://fermatmind.com/zh/articles/enneagram-personality-test-explained,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
68,zh,https://fermatmind.com/zh/articles/enneagram-workplace-friction-core-motivations,related_article,article,51,zh,https://fermatmind.com/zh/articles/enneagram-personality-test-explained,继续了解Enneagram,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
68,zh,https://fermatmind.com/zh/articles/enneagram-workplace-friction-core-motivations,take_assessment,assessment_landing,enneagram-personality-test-nine-types,zh,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,先做九型人格测试，再记录最近一周的职场触发点,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
68,zh,https://fermatmind.com/zh/articles/enneagram-workplace-friction-core-motivations,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
4,zh,https://fermatmind.com/zh/articles/eq-test-tool-guide,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
58,zh,https://fermatmind.com/zh/articles/gaokao-major-adjustment-unacceptable-major-checklist,related_article,article,165,zh,https://fermatmind.com/zh/articles/big-five-vs-riasec-personality-traits-and-career-interests,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
58,zh,https://fermatmind.com/zh/articles/gaokao-major-adjustment-unacceptable-major-checklist,take_assessment,assessment_landing,holland-career-interest-test-riasec,zh,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,做一次霍兰德职业兴趣测试，把“不喜欢”拆成可验证任务,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
