priority,url_path,locale,page_type,type_code,variant,current_title,current_description,current_h1,current_h2_count,current_issues,gsc_impressions_24h_screenshot,gsc_clicks_24h_screenshot,recommended_target_depth,required_sections,must_link_to,do_not_write,method_boundary_required
P2,/zh/personality/enfj-t,zh-CN,variant,ENFJ,T,ENFJ-T 主人公人格：特点、爱情、职业与适合工作 | FermatMind,了解 ENFJ-T 主人公人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ENFJ-T 主人公人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/enfj-a-vs-enfj-t,zh-CN,comparison,ENFJ,A_vs_T,ENFJ-A 和 ENFJ-T 区别：特点、职业、爱情与稀有度 | FermatMind,对比 ENFJ-A 与 ENFJ-T 的 A/T 区别、核心特点、爱情关系、适合职业、优势盲点、稀有度，并通过 MBTI 测试确认自己的类型。,ENFJ-A 和 ENFJ-T 区别：特点、职业、爱情与稀有度,7,,,,1800-2800 Chinese characters,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/enfp-a,zh-CN,variant,ENFP,A,ENFP-A 竞选者人格：特点、爱情、职业与适合工作 | FermatMind,了解 ENFP-A 竞选者人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ENFP-A 活动家人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/enfp-t,zh-CN,variant,ENFP,T,ENFP-T 竞选者人格：特点、爱情、职业与适合工作 | FermatMind,了解 ENFP-T 竞选者人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ENFP-T 竞选人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/enfp-a-vs-enfp-t,zh-CN,comparison,ENFP,A_vs_T,ENFP-A 和 ENFP-T 区别：特点、职业、爱情与稀有度 | FermatMind,对比 ENFP-A 与 ENFP-T 的 A/T 区别、核心特点、爱情关系、适合职业、优势盲点、稀有度，并通过 MBTI 测试确认自己的类型。,ENFP-A 和 ENFP-T 区别：特点、职业、爱情与稀有度,7,,,,1800-2800 Chinese characters,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P0,/zh/personality/istj-a,zh-CN,variant,ISTJ,A,ISTJ-A 物流师人格：特点、爱情、职业与适合工作 | FermatMind,了解 ISTJ-A 物流师人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ISTJ-A 物流师人格,0,thin_h2_structure|weak_personality_internal_links,11,0,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/istj-t,zh-CN,variant,ISTJ,T,ISTJ-T 物流师人格：特点、爱情、职业与适合工作 | FermatMind,了解 ISTJ-T 物流师人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ISTJ-T 物流师人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/istj-a-vs-istj-t,zh-CN,comparison,ISTJ,A_vs_T,ISTJ-A 和 ISTJ-T 区别：特点、职业、爱情与稀有度 | FermatMind,对比 ISTJ-A 与 ISTJ-T 的 A/T 区别、核心特点、爱情关系、适合职业、优势盲点、稀有度，并通过 MBTI 测试确认自己的类型。,ISTJ-A 和 ISTJ-T 区别：特点、职业、爱情与稀有度,7,,,,1800-2800 Chinese characters,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/zh/personality/isfj-a,zh-CN,variant,ISFJ,A,ISFJ-A 守卫者人格：特点、爱情、职业与适合工作 | FermatMind,了解 ISFJ-A 守卫者人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ISFJ-A 守护者人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/zh/personality/isfj-t,zh-CN,variant,ISFJ,T,ISFJ-T 守卫者人格：特点、爱情、职业与适合工作 | FermatMind,了解 ISFJ-T 守卫者人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ISFJ-T 守护者人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/isfj-a-vs-isfj-t,zh-CN,comparison,ISFJ,A_vs_T,ISFJ-A 和 ISFJ-T 区别：特点、职业、爱情与稀有度 | FermatMind,对比 ISFJ-A 与 ISFJ-T 的 A/T 区别、核心特点、爱情关系、适合职业、优势盲点、稀有度，并通过 MBTI 测试确认自己的类型。,ISFJ-A 和 ISFJ-T 区别：特点、职业、爱情与稀有度,7,,,,1800-2800 Chinese characters,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/zh/personality/estj-a,zh-CN,variant,ESTJ,A,ESTJ-A 总经理人格：特点、爱情、职业与适合工作 | FermatMind,了解 ESTJ-A 总经理人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ESTJ-A 总经理人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/zh/personality/estj-t,zh-CN,variant,ESTJ,T,ESTJ-T 总经理人格：特点、爱情、职业与适合工作 | FermatMind,了解 ESTJ-T 总经理人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ESTJ-T 总经理人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/estj-a-vs-estj-t,zh-CN,comparison,ESTJ,A_vs_T,ESTJ-A 和 ESTJ-T 区别：特点、职业、爱情与稀有度 | FermatMind,对比 ESTJ-A 与 ESTJ-T 的 A/T 区别、核心特点、爱情关系、适合职业、优势盲点、稀有度，并通过 MBTI 测试确认自己的类型。,ESTJ-A 和 ESTJ-T 区别：特点、职业、爱情与稀有度,7,,,,1800-2800 Chinese characters,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/zh/personality/esfj-a,zh-CN,variant,ESFJ,A,ESFJ-A 执政官人格：特点、爱情、职业与适合工作 | FermatMind,了解 ESFJ-A 执政官人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ESFJ-A 执政官人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/zh/personality/esfj-t,zh-CN,variant,ESFJ,T,ESFJ-T 执政官人格：特点、爱情、职业与适合工作 | FermatMind,了解 ESFJ-T 执政官人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ESFJ-T 执政官人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/esfj-a-vs-esfj-t,zh-CN,comparison,ESFJ,A_vs_T,ESFJ-A 和 ESFJ-T 区别：特点、职业、爱情与稀有度 | FermatMind,对比 ESFJ-A 与 ESFJ-T 的 A/T 区别、核心特点、爱情关系、适合职业、优势盲点、稀有度，并通过 MBTI 测试确认自己的类型。,ESFJ-A 和 ESFJ-T 区别：特点、职业、爱情与稀有度,7,,,,1800-2800 Chinese characters,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/zh/personality/istp-a,zh-CN,variant,ISTP,A,ISTP-A 鉴赏家人格：特点、爱情、职业与适合工作 | FermatMind,了解 ISTP-A 鉴赏家人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ISTP-A 鉴赏家人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/zh/personality/istp-t,zh-CN,variant,ISTP,T,ISTP-T 鉴赏家人格：特点、爱情、职业与适合工作 | FermatMind,了解 ISTP-T 鉴赏家人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ISTP-T 探险家人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/istp-a-vs-istp-t,zh-CN,comparison,ISTP,A_vs_T,ISTP-A 和 ISTP-T 区别：特点、职业、爱情与稀有度 | FermatMind,对比 ISTP-A 与 ISTP-T 的 A/T 区别、核心特点、爱情关系、适合职业、优势盲点、稀有度，并通过 MBTI 测试确认自己的类型。,ISTP-A 和 ISTP-T 区别：特点、职业、爱情与稀有度,7,,,,1800-2800 Chinese characters,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/zh/personality/isfp-a,zh-CN,variant,ISFP,A,ISFP-A 探险家人格：特点、爱情、职业与适合工作 | FermatMind,了解 ISFP-A 探险家人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ISFP-A 探险家人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/zh/personality/isfp-t,zh-CN,variant,ISFP,T,ISFP-T 探险家人格：特点、爱情、职业与适合工作 | FermatMind,了解 ISFP-T 探险家人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ISFP-T 探险家人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/isfp-a-vs-isfp-t,zh-CN,comparison,ISFP,A_vs_T,ISFP-A 和 ISFP-T 区别：特点、职业、爱情与稀有度 | FermatMind,对比 ISFP-A 与 ISFP-T 的 A/T 区别、核心特点、爱情关系、适合职业、优势盲点、稀有度，并通过 MBTI 测试确认自己的类型。,ISFP-A 和 ISFP-T 区别：特点、职业、爱情与稀有度,7,,,,1800-2800 Chinese characters,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/zh/personality/estp-a,zh-CN,variant,ESTP,A,ESTP-A 企业家人格：特点、爱情、职业与适合工作 | FermatMind,了解 ESTP-A 企业家人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ESTP-A 企业家人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/zh/personality/estp-t,zh-CN,variant,ESTP,T,ESTP-T 企业家人格：特点、爱情、职业与适合工作 | FermatMind,了解 ESTP-T 企业家人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ESTP-T 企业家人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/estp-a-vs-estp-t,zh-CN,comparison,ESTP,A_vs_T,ESTP-A 和 ESTP-T 区别：特点、职业、爱情与稀有度 | FermatMind,对比 ESTP-A 与 ESTP-T 的 A/T 区别、核心特点、爱情关系、适合职业、优势盲点、稀有度，并通过 MBTI 测试确认自己的类型。,ESTP-A 和 ESTP-T 区别：特点、职业、爱情与稀有度,7,,,,1800-2800 Chinese characters,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/zh/personality/esfp-a,zh-CN,variant,ESFP,A,ESFP-A 表演者人格：特点、爱情、职业与适合工作 | FermatMind,了解 ESFP-A 表演者人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ESFP-A 表演者人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/zh/personality/esfp-t,zh-CN,variant,ESFP,T,ESFP-T 表演者人格：特点、爱情、职业与适合工作 | FermatMind,了解 ESFP-T 表演者人格的核心特点、优势盲点、爱情关系、职业倾向与适合工作，并通过 MBTI 测试确认自己的类型。,ESFP-T 表演者人格,0,thin_h2_structure|weak_personality_internal_links,,,1600-2400 Chinese characters,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/zh/personality/esfp-a-vs-esfp-t,zh-CN,comparison,ESFP,A_vs_T,ESFP-A 和 ESFP-T 区别：特点、职业、爱情与稀有度 | FermatMind,对比 ESFP-A 与 ESFP-T 的 A/T 区别、核心特点、爱情关系、适合职业、优势盲点、稀有度，并通过 MBTI 测试确认自己的类型。,ESFP-A 和 ESFP-T 区别：特点、职业、爱情与稀有度,7,,,,1800-2800 Chinese characters,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
